"categoria";"nome";"codigo_barras";"motivo";"preco"
"Acessórios para narguilé";"BONG DE ACRÍLICO";"";"falta o codigo de barras";"29.99"
"Acessórios para narguilé";"CARVAO 2KG";"7898919843084";"nenhuma base tem foto boa deste codigo";"14.99"
"Acessórios para narguilé";"CARVAO 4KG";"7897668400050";"nenhuma base tem foto boa deste codigo";"26.50"
"Acessórios para narguilé";"CARVÃO 7K";"";"falta o codigo de barras";"40.00"
"Acessórios para narguilé";"CARVÃO CHACAL 500G";"606529439316";"nenhuma base tem foto boa deste codigo";"34.00"
"Acessórios para narguilé";"CARVÃO COCO BLACK 250G";"751320160973";"nenhuma base tem foto boa deste codigo";"12.00"
"Acessórios para narguilé";"CARVÃO SOLTO CHACAL";"";"falta o codigo de barras";"1.50"
"Acessórios para narguilé";"MICRO BONG";"798190180151";"nenhuma base tem foto boa deste codigo";"35.00"
"Acessórios para narguilé";"PANELINHA DE CARVÃO";"";"falta o codigo de barras";"49.99"
"Acessórios para narguilé";"PAPEL ALUMÍNIO SEVEN";"8265340921749";"nenhuma base tem foto boa deste codigo";"17.50"
"Acessórios para narguilé";"PAPEL ALUMÍNIO SOLTO";"";"falta o codigo de barras";"0.50"
"Acessórios para narguilé";"ROSH";"";"falta o codigo de barras";"25.00"
"Águas";"AGUA 5L SERRA CATARINENSE";"7898960658095";"nenhuma base tem foto boa deste codigo";"10.00"
"Águas";"AGUA COM GAS 500ML SERRA CATARINENSE";"7898960658040";"nenhuma base tem foto boa deste codigo";"3.50"
"Águas";"ÁGUA CRISTAL COM GÁS 1,5ML UNIDADE";"7898944548046";"nenhuma base tem foto boa deste codigo";"5.50"
"Águas";"AGUA CRISTAL COM GÁS 500ML";"7898944548022";"nenhuma base tem foto boa deste codigo";"3.50"
"Águas";"AGUA CRISTAL SEM GAZ 1,5L";"7898944548039";"nenhuma base tem foto boa deste codigo";"5.00"
"Águas";"AGUA CRISTAL SEM GAZ 500ML";"7898944548015";"nenhuma base tem foto boa deste codigo";"3.00"
"Águas";"SERRA AZUL  900ML";"7897601403940";"nenhuma base tem foto boa deste codigo";"11.00"
"Cervejas";"DI SANTO CERVEJA PILSEM";"7896494210802";"nenhuma base tem foto boa deste codigo";"5.00"
"Cervejas";"PETRA UNIDADE";"7897395099329";"nenhuma base tem foto boa deste codigo";"4.50"
"Cervejas";"Presidente";"7896023080487";"nenhuma base tem foto boa deste codigo";"22.50"
"Cervejas";"RED HOUSE MAÇA VERDE LATÃO";"7898422674243";"nenhuma base tem foto boa deste codigo";"8.50"
"Cervejas";"SCHIN CAIXA";"";"falta o codigo de barras";"40.00"
"Destilados";"BARRIL DE OURO SABOR COCO";"7898422675516";"nenhuma base tem foto boa deste codigo";"6.00"
"Destilados";"BOB PINGA 975ML";"7897507404591";"nenhuma base tem foto boa deste codigo";"25.00"
"Destilados";"CATUABA DA SELVA 1L";"7897128910501";"nenhuma base tem foto boa deste codigo";"13.50"
"Destilados";"CATUABA DE  AÇAI, FLOR DA SELVA  500ML";"7898422678951";"nenhuma base tem foto boa deste codigo";"6.00"
"Destilados";"DOMECQ 1L";"7896080001401";"nenhuma base tem foto boa deste codigo";"53.00"
"Destilados";"DOSE DE 40ML BALLANTINES";"";"falta o codigo de barras";"15.00"
"Destilados";"DOSE DE 40ML BALLANTINES SUNSHINE";"";"falta o codigo de barras";"20.00"
